title	link	published	description	fetchDate
LEGGE 15 maggio 2026, n.99	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26G00117/SG	Fri, 12 Jun 2026 18:25:16 GMT		2026-06-13T12:53:53.977382+02:00
DECRETO-LEGGE 12 giugno 2026, n.100	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26G00119/SG	Fri, 12 Jun 2026 18:25:17 GMT		2026-06-13T12:53:53.977382+02:00
MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE - DECRETO 5 giugno 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02927/SG	Fri, 12 Jun 2026 18:25:15 GMT		2026-06-13T12:53:53.977382+02:00
MINISTERO DELLA SALUTE - DECRETO 29 maggio 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02893/SG	Fri, 12 Jun 2026 18:25:14 GMT		2026-06-13T12:53:53.977382+02:00
MINISTERO DELLE IMPRESE E DEL MADE IN ITALY - DECRETO 22 maggio 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02784/SG	Fri, 12 Jun 2026 18:25:13 GMT		2026-06-13T12:53:53.977382+02:00
MINISTERO DELLE IMPRESE E DEL MADE IN ITALY - DECRETO 22 maggio 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02785/SG	Fri, 12 Jun 2026 18:25:13 GMT		2026-06-13T12:53:53.977382+02:00
MINISTERO DELLE IMPRESE E DEL MADE IN ITALY - DECRETO 22 maggio 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02786/SG	Fri, 12 Jun 2026 18:25:13 GMT		2026-06-13T12:53:53.977382+02:00
MINISTERO DELLE IMPRESE E DEL MADE IN ITALY - DECRETO 26 maggio 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02890/SG	Fri, 12 Jun 2026 18:25:14 GMT		2026-06-13T12:53:53.977382+02:00
MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA - DECRETO 6 maggio 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02926/SG	Fri, 12 Jun 2026 18:25:15 GMT		2026-06-13T12:53:53.977382+02:00
AGENZIA ITALIANA DEL FARMACO - DETERMINA 4 giugno 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02944/SG	Fri, 12 Jun 2026 18:25:16 GMT		2026-06-13T12:53:53.977382+02:00
COMITATO INTERMINISTERIALE PER LA TRANSIZIONE ECOLOGICA - DELIBERA 22 aprile 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02928/SG	Fri, 12 Jun 2026 18:25:16 GMT		2026-06-13T12:53:53.977382+02:00
AGENZIA ITALIANA DEL FARMACO - COMUNICATO	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02877/SG	Fri, 12 Jun 2026 18:25:14 GMT		2026-06-13T12:53:53.977382+02:00
AGENZIA ITALIANA DEL FARMACO - COMUNICATO	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02945/SG	Fri, 12 Jun 2026 18:25:16 GMT		2026-06-13T12:53:53.977382+02:00
MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE - COMUNICATO	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02912/SG	Fri, 12 Jun 2026 18:25:15 GMT		2026-06-13T12:53:53.977382+02:00
MINISTERO DELLA DIFESA - COMUNICATO	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02899/SG	Fri, 12 Jun 2026 18:25:14 GMT		2026-06-13T12:53:53.977382+02:00
DECRETO DEL PRESIDENTE DEL CONSIGLIO DEI MINISTRI 20 aprile 2026	http://www.gazzettaufficiale.it/eli/id/2026/06/12/26A02746/SG	Fri, 12 Jun 2026 18:25:12 GMT		2026-06-13T12:53:53.977382+02:00
