eliUri	source	sourceUrl	publicationDate	redactionalCode	contentHash	firstSeenAt	lastCheckedAt	lastChangedAt	status	lastError
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26G00123/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26G00123/SG	2026-06-20	26G00123	a6c843bae0e11dd1b21722cf3480c1a0096074cf45852123648612d339bfac7c	2026-06-22T17:05:09.471046600+02:00	2026-06-22T17:05:09.471046600+02:00	2026-06-22T17:05:09.471046600+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03072/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03072/SG	2026-06-20	26A03072	b976f2f4b224a665c33edabee70090344a48d12f258604143d791dac776c54b0	2026-06-22T17:05:09.736637300+02:00	2026-06-22T17:05:09.736637300+02:00	2026-06-22T17:05:09.736637300+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03027/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03027/SG	2026-06-20	26A03027	07d6e17c07c9d08305c214b5b3c45f719e1e0f6bfe85827f4b3d94a68d240202	2026-06-22T17:05:10.032844400+02:00	2026-06-22T17:05:10.032844400+02:00	2026-06-22T17:05:10.032844400+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03117/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03117/SG	2026-06-20	26A03117	adb8962c256a126c10bb938316e936774928eaccabc761136688023e4e46b967	2026-06-22T17:05:10.275404700+02:00	2026-06-22T17:05:10.275404700+02:00	2026-06-22T17:05:10.275404700+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A02847/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A02847/SG	2026-06-20	26A02847	1a5aae592c16f477251da23a59ce43e9a6dfc85758034d8f162530fe1d0adb11	2026-06-22T17:05:10.527756+02:00	2026-06-22T17:05:10.527756+02:00	2026-06-22T17:05:10.527756+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03028/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03028/SG	2026-06-20	26A03028	43335a4aafe85a8396ee9a131fa1d47e3f18ac738bd994559297652bfb6ab97c	2026-06-22T17:05:10.784913400+02:00	2026-06-22T17:05:10.784913400+02:00	2026-06-22T17:05:10.784913400+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03029/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03029/SG	2026-06-20	26A03029	aa5251b520aa910f22fbf44c1f03957a1e2b331f03c2b6aab055acbefa855b25	2026-06-22T17:05:11.042655300+02:00	2026-06-22T17:05:11.042655300+02:00	2026-06-22T17:05:11.042655300+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03182/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03182/SG	2026-06-20	26A03182	03064acb0d03c8033ac50f93d6f84617b53df8274b0014da6398ffb5437f557f	2026-06-22T17:05:11.323487200+02:00	2026-06-22T17:05:11.323487200+02:00	2026-06-22T17:05:11.323487200+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03032/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03032/SG	2026-06-20	26A03032	3b25d951b6113979f8ebae24ffd74ca2d7b9eb66a96464de42ec3cddabe7a9eb	2026-06-22T17:05:11.573618500+02:00	2026-06-22T17:05:11.573618500+02:00	2026-06-22T17:05:11.573618500+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03033/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03033/SG	2026-06-20	26A03033	9df9338de701fb1c236038c8d737d51b6ecf01f1e1e1b86e42ecf2048f45b6c6	2026-06-22T17:05:11.882565400+02:00	2026-06-22T17:05:11.882565400+02:00	2026-06-22T17:05:11.882565400+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03034/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03034/SG	2026-06-20	26A03034	c71221d33f29f83a9d29b9f81048e5cfa9ca80d4e24ed2f0f7ee058f1388387f	2026-06-22T17:05:12.144951500+02:00	2026-06-22T17:05:12.144951500+02:00	2026-06-22T17:05:12.144951500+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03035/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03035/SG	2026-06-20	26A03035	c2fb33ff38f65e14c6a271e7bac8949371df27b301dcf9d6e0642ec721ce72b4	2026-06-22T17:05:12.394946900+02:00	2026-06-22T17:05:12.394946900+02:00	2026-06-22T17:05:12.394946900+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03114/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03114/SG	2026-06-20	26A03114	25edcae3536bc2f70fbc6c7b1f5abd7b169dc1255dfed895401b79a1d1ac796d	2026-06-22T17:05:12.623947600+02:00	2026-06-22T17:05:12.623947600+02:00	2026-06-22T17:05:12.623947600+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03074/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03074/SG	2026-06-20	26A03074	1f0874f3ef906ec5f7e78a040676240f272e86a8e66d1c34b19be2c9a6f44d25	2026-06-22T17:05:12.908955400+02:00	2026-06-22T17:05:12.908955400+02:00	2026-06-22T17:05:12.908955400+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03073/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03073/SG	2026-06-20	26A03073	248f4b1a952db847decd21b334aa474c6d134ad64d27a9cd1a29cc2f1e1a59f0	2026-06-22T17:05:13.131951900+02:00	2026-06-22T17:05:13.131951900+02:00	2026-06-22T17:05:13.131951900+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03188/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03188/SG	2026-06-20	26A03188	5dfd641d08b42f00bb724f19ab13e26828a831d0355c9a95a94a6e5e3fbbe47f	2026-06-22T17:05:13.361950900+02:00	2026-06-22T17:05:13.361950900+02:00	2026-06-22T17:05:13.361950900+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A02994/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A02994/SG	2026-06-20	26A02994	fb4107fb4d6666341487a18ab476f9c8ff0e0e883c6a6c7b4cb326566d784cda	2026-06-22T17:05:13.597948900+02:00	2026-06-22T17:05:13.597948900+02:00	2026-06-22T17:05:13.597948900+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03036/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03036/SG	2026-06-20	26A03036	9cb67c4da253d456faa837a3d1d40b18829a46b75277cd88ae7d64e990f17c15	2026-06-22T17:05:13.820948900+02:00	2026-06-22T17:05:13.820948900+02:00	2026-06-22T17:05:13.820948900+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03037/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/20/26A03037/SG	2026-06-20	26A03037	9cb6d5eb8dfb4e948a6acd7f1cf1310a457afb99bd781aa9402f43738e57a4d1	2026-06-22T17:05:14.083789100+02:00	2026-06-22T17:05:14.083789100+02:00	2026-06-22T17:05:14.083789100+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26G00127/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26G00127/SG	2026-06-27	26G00127	6dddc183c4145d95c67decb2cb724414ddf4caf38a71a1be2e886ab11eff533c	2026-06-29T10:07:52.883820200+02:00	2026-06-29T10:07:52.883820200+02:00	2026-06-29T10:07:52.883820200+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26G00128/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26G00128/SG	2026-06-27	26G00128	ae9e5f92fc4c7b384548c49453163ee198d62ff66ec47efb3df5734d5472775d	2026-06-29T10:07:53.101026400+02:00	2026-06-29T10:07:53.101026400+02:00	2026-06-29T10:07:53.101026400+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26G00129/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26G00129/SG	2026-06-27	26G00129	7a4f56515a30bf7c5f0d9cecadcd00d0116a55ac890839699e92a4dc7c773d0c	2026-06-29T10:07:53.284604500+02:00	2026-06-29T10:07:53.284604500+02:00	2026-06-29T10:07:53.284604500+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03226/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03226/SG	2026-06-27	26A03226	aa398b39abaf845bfc06e79e3a00b4251fd9e902f5769cbbde6affbe30d8722c	2026-06-29T10:07:53.494042800+02:00	2026-06-29T10:07:53.494042800+02:00	2026-06-29T10:07:53.494042800+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03227/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03227/SG	2026-06-27	26A03227	7f2b541b163b6e9b150783ff1dc540f4b68926ad54d347961ea8512b76f3c09d	2026-06-29T10:07:53.787299200+02:00	2026-06-29T10:07:53.787299200+02:00	2026-06-29T10:07:53.787299200+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A02941/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A02941/SG	2026-06-27	26A02941	51e27bb95800d7d215d32321331fd3f97db1d9a7f63c52ac24446916c890f3ea	2026-06-29T10:07:54.003213+02:00	2026-06-29T10:07:54.003213+02:00	2026-06-29T10:07:54.003213+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A02942/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A02942/SG	2026-06-27	26A02942	4911cea7d274d25d23b0a42ada0cc2ab36b23f88e42dcc277ed4fb9412e1a28e	2026-06-29T10:07:54.245806300+02:00	2026-06-29T10:07:54.245806300+02:00	2026-06-29T10:07:54.245806300+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A02943/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A02943/SG	2026-06-27	26A02943	7378234b3719bce0baf93621d4058fb3f327c2f7a1145f2b1454d7a48ab454bd	2026-06-29T10:07:54.481307300+02:00	2026-06-29T10:07:54.481307300+02:00	2026-06-29T10:07:54.481307300+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03063/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03063/SG	2026-06-27	26A03063	29e3ae4dbb49f232493b6bd82bd5ddda0a6f127fb532a2817d77fdb4bf07e68a	2026-06-29T10:07:54.699353+02:00	2026-06-29T10:07:54.699353+02:00	2026-06-29T10:07:54.699353+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03064/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03064/SG	2026-06-27	26A03064	e2b473bdef0d7471153d15a52eee510d1ecdc2c0452b7de99e510b045db2f50d	2026-06-29T10:07:55.055262400+02:00	2026-06-29T10:07:55.055262400+02:00	2026-06-29T10:07:55.055262400+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03065/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03065/SG	2026-06-27	26A03065	029d5a18abf416c17fccaa2334da459cd71c7a2bce7df80c85a2d365de2b9f2b	2026-06-29T10:07:55.213187600+02:00	2026-06-29T10:07:55.213187600+02:00	2026-06-29T10:07:55.213187600+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03066/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03066/SG	2026-06-27	26A03066	86a3567a824b870a5c3653827f76909027625823164ff4b5352205e58735f826	2026-06-29T10:07:55.534008900+02:00	2026-06-29T10:07:55.534008900+02:00	2026-06-29T10:07:55.534008900+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03217/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03217/SG	2026-06-27	26A03217	34fde68fcab023befd499a5cb4fa2babcd0f0883ffee920b76c2590a498d2beb	2026-06-29T10:07:55.779276200+02:00	2026-06-29T10:07:55.779276200+02:00	2026-06-29T10:07:55.779276200+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03215/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03215/SG	2026-06-27	26A03215	d604ad74e2337d06d9af80de95c5fe328f7934b4b599e6aae7ad8f1bac2406eb	2026-06-29T10:07:55.972836700+02:00	2026-06-29T10:07:55.972836700+02:00	2026-06-29T10:07:55.972836700+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03291/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03291/SG	2026-06-27	26A03291	c1f62db3c77b196bd294f217065bf229f2813b8ba7ff592ea29a352cf8e18007	2026-06-29T10:07:56.261076500+02:00	2026-06-29T10:07:56.261076500+02:00	2026-06-29T10:07:56.261076500+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03280/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03280/SG	2026-06-27	26A03280	3201aeba38b84fa27ef11c39c53b03e755ad418b0c9c9b134b5e1f7ebef5cbb7	2026-06-29T10:07:56.466503+02:00	2026-06-29T10:07:56.466503+02:00	2026-06-29T10:07:56.466503+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03212/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03212/SG	2026-06-27	26A03212	e471f3bcf385f9e8a14b18e8c81e66356483b03133ac40d92bb45fc857f71c96	2026-06-29T10:07:56.704531200+02:00	2026-06-29T10:07:56.704531200+02:00	2026-06-29T10:07:56.704531200+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03216/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03216/SG	2026-06-27	26A03216	24eee7fe56b93631f05304c4513fe65effb0789baa8dfb448f6cf6a7ba788933	2026-06-29T10:07:56.941296100+02:00	2026-06-29T10:07:56.941296100+02:00	2026-06-29T10:07:56.941296100+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03218/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03218/SG	2026-06-27	26A03218	2dac6117f5dab5a1c93d64a916f00b0d78b66c0818069370e16dcb0bb64738aa	2026-06-29T10:07:57.170041900+02:00	2026-06-29T10:07:57.170041900+02:00	2026-06-29T10:07:57.170041900+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03219/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03219/SG	2026-06-27	26A03219	fbd6a10c657ed0b13ee7cfcd532a16dbdaeb34f3a8ec22e6aea590185f48121c	2026-06-29T10:07:57.359122300+02:00	2026-06-29T10:07:57.359122300+02:00	2026-06-29T10:07:57.359122300+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03228/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/06/27/26A03228/SG	2026-06-27	26A03228	10feae8b5d74cd95a42626c751f0a2528436762776dfe9a4bc715ec333f60848	2026-06-29T10:07:57.554109900+02:00	2026-06-29T10:07:57.554109900+02:00	2026-06-29T10:07:57.554109900+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26G00140/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26G00140/SG	2026-07-08	26G00140	5254f6a688fe8c78b0d54b26edc196f96e82aa3607e229aab02ab57c628fd085	2026-07-09T10:05:39.624295600+02:00	2026-07-09T10:05:39.624295600+02:00	2026-07-09T10:05:39.624295600+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03273/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03273/SG	2026-07-08	26A03273	531f6471c6fb44cf07f385eb09cb0f946ce1b6b81271b7281c9dfe446fd9f505	2026-07-09T10:05:39.841181+02:00	2026-07-09T10:05:39.841181+02:00	2026-07-09T10:05:39.841181+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03443/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03443/SG	2026-07-08	26A03443	ec3e5ee4e114218e59924237fb5b0cacc474500190885b5ca492dbadb4ff4600	2026-07-09T10:05:40.101600100+02:00	2026-07-09T10:05:40.101600100+02:00	2026-07-09T10:05:40.101600100+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03466/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03466/SG	2026-07-08	26A03466	f75e9775734a87493cf5dcdb35c661fa951ba74b44a3b1df08dce2f885c3a78b	2026-07-09T10:05:40.427721+02:00	2026-07-09T10:05:40.427721+02:00	2026-07-09T10:05:40.427721+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03348/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03348/SG	2026-07-08	26A03348	552bb72e4170fd47774bc79c6787bbf4ad153af42e16f87035010206cb9ff6be	2026-07-09T10:05:40.598454100+02:00	2026-07-09T10:05:40.598454100+02:00	2026-07-09T10:05:40.598454100+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03272/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03272/SG	2026-07-08	26A03272	79b514778d7fd735b4afdeb7bdcfa1d6509d27632520a5e4b5e83739a2e8cbb0	2026-07-09T10:05:40.865762+02:00	2026-07-09T10:05:40.865762+02:00	2026-07-09T10:05:40.865762+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03343/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03343/SG	2026-07-08	26A03343	ba0955c2f2e1436593db9cfcc030e8c0a0682925c67ba90cb971e881596852d2	2026-07-09T10:05:41.214501100+02:00	2026-07-09T10:05:41.214501100+02:00	2026-07-09T10:05:41.214501100+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03344/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03344/SG	2026-07-08	26A03344	52a9a42477cd03d5e8a8a533c102fe97864075b5ae2b834eaf60d2b27ae7ed80	2026-07-09T10:05:41.366823900+02:00	2026-07-09T10:05:41.366823900+02:00	2026-07-09T10:05:41.366823900+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03345/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03345/SG	2026-07-08	26A03345	8478f6a59583f06dd905c7caa01a02592695c1aba9ad444176f7b2929c2f7631	2026-07-09T10:05:41.558644500+02:00	2026-07-09T10:05:41.558644500+02:00	2026-07-09T10:05:41.558644500+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03346/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03346/SG	2026-07-08	26A03346	b58b58fda702a14a08c80875b4d372b76ae81815e34e289d41261976fee1e5d5	2026-07-09T10:05:41.850972600+02:00	2026-07-09T10:05:41.850972600+02:00	2026-07-09T10:05:41.850972600+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03347/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03347/SG	2026-07-08	26A03347	e2b6bdfc699ed4d96620a9b97d14fb9c79f4f319663510a23af7d4425fd53ac7	2026-07-09T10:05:42.157104200+02:00	2026-07-09T10:05:42.157104200+02:00	2026-07-09T10:05:42.157104200+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03349/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03349/SG	2026-07-08	26A03349	523440a3bcbd5aaabaef96d266fa0aa9f85ab33515cfa0b520bd99c0ded12127	2026-07-09T10:05:42.380902500+02:00	2026-07-09T10:05:42.380902500+02:00	2026-07-09T10:05:42.380902500+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03350/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03350/SG	2026-07-08	26A03350	cf7eb3aebcd344fe939587dc4bdaaffbb0712c3217b46da91cade8f740741eef	2026-07-09T10:05:42.603522200+02:00	2026-07-09T10:05:42.603522200+02:00	2026-07-09T10:05:42.603522200+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03351/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03351/SG	2026-07-08	26A03351	b23e532444b92d4c61166a64902d6e1cc49d41a3022487df86a146fe93df686c	2026-07-09T10:05:42.792355200+02:00	2026-07-09T10:05:42.792355200+02:00	2026-07-09T10:05:42.792355200+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03352/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03352/SG	2026-07-08	26A03352	c21a80803997662a9e3233877c03385283fe770fde960bf8e598a07162300a08	2026-07-09T10:05:42.993533100+02:00	2026-07-09T10:05:42.993533100+02:00	2026-07-09T10:05:42.993533100+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03353/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03353/SG	2026-07-08	26A03353	c6eb0a62ae8d21d05fc1f57c11266cd92060b0469dd4772915145e5b6e56cd09	2026-07-09T10:05:43.203039700+02:00	2026-07-09T10:05:43.203039700+02:00	2026-07-09T10:05:43.203039700+02:00	NEW	
http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03354/sg	gazzetta	http://www.gazzettaufficiale.it/eli/id/2026/07/08/26A03354/SG	2026-07-08	26A03354	1d2a865a6c4a93a6302f3567314ef49fe84a9ced9645f4561737198783a5690e	2026-07-09T10:05:43.445379700+02:00	2026-07-09T10:05:43.445379700+02:00	2026-07-09T10:05:43.445379700+02:00	NEW	
